,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
14,4.36,2.03,24190.0,13050.0,32400.0,168000.0,440.0,134.0,951.0,31.3,1635.0,809.0,0.0,20.96,58500.0,8.7,145.8,5.44,184.0,22.1,0.28,122.3,0.47,0.1,0.01,0.01,0.0,0.2,0.0,1.85,0.14,0.41,0.07,0.36,0.16,0.08,0.13,0.02,0.1,0.02,0.05,0.01,0.06,0.01,0.01,0.0,0.0,0.1,0.03,0.0
15,3.88,1.69,23590.0,12470.0,33480.0,179300.0,587.0,44.6,1029.0,32.44,1509.0,733.0,0.0,21.71,58900.0,8.54,141.5,3.65,178.4,22.64,0.05,133.7,0.32,0.1,0.0,0.0,0.0,0.2,0.0,0.9,0.11,0.31,0.05,0.28,0.08,0.08,0.09,0.01,0.08,0.01,0.03,0.01,0.05,0.01,0.01,0.01,0.0,0.13,0.02,0.0
16,3.99,1.18,24020.0,13180.0,33670.0,176400.0,419.0,58.9,980.0,29.2,1407.0,775.0,0.65,21.08,57600.0,8.33,136.9,3.49,172.1,23.38,0.05,125.1,0.32,0.05,0.01,0.03,0.0,0.18,0.0,0.82,0.1,0.29,0.05,0.26,0.1,0.07,0.11,0.01,0.07,0.01,0.04,0.01,0.04,0.01,0.01,0.01,0.0,0.12,0.02,0.0
17,3.55,1.18,24530.0,13840.0,33920.0,170900.0,496.0,83.0,898.0,25.6,1296.0,778.0,0.0,22.11,57000.0,8.34,134.9,3.61,175.1,24.67,0.15,123.4,0.17,0.05,0.01,0.03,0.0,0.19,0.0,0.84,0.07,0.19,0.02,0.14,0.04,0.06,0.04,0.01,0.04,0.01,0.02,0.0,0.02,0.01,0.0,0.03,0.0,0.15,0.01,0.0
18,6.02,1.74,24500.0,14910.0,32400.0,180700.0,372.0,113.0,1052.0,63.2,1960.0,1090.0,2.67,21.1,59500.0,9.9,170.0,5.01,127.0,29.7,0.16,122.5,0.37,0.23,0.03,0.02,0.0,0.31,0.0,2.06,0.12,0.32,0.05,0.21,0.08,0.11,0.1,0.02,0.06,0.01,0.04,0.01,0.07,0.01,0.02,0.0,0.0,0.28,0.03,0.0
19,5.84,1.62,25300.0,15000.0,32000.0,177000.0,369.0,70.2,1001.0,62.5,2015.0,1003.0,1.94,22.5,58700.0,9.57,153.6,4.55,132.0,26.9,0.07,121.5,0.35,0.1,0.01,0.03,0.0,0.24,0.0,1.6,0.14,0.31,0.05,0.25,0.09,0.09,0.09,0.01,0.09,0.01,0.04,0.01,0.06,0.02,0.01,0.0,0.0,0.18,0.03,0.0
20,5.17,1.31,26100.0,15270.0,31900.0,172700.0,334.0,440.0,990.0,50.1,1974.0,983.0,1.99,21.97,61500.0,10.08,157.3,5.85,126.4,27.3,1.31,120.5,0.36,0.13,0.01,0.04,0.0,0.31,0.04,3.5,0.11,0.29,0.05,0.25,0.11,0.09,0.1,0.01,0.07,0.02,0.04,0.0,0.06,0.02,0.01,0.01,0.0,0.27,0.03,0.0
21,3.34,0.38,18790.0,10050.0,36000.0,161200.0,825.0,24.4,944.0,32.1,1341.0,350.0,46.2,15.29,37800.0,3.87,73.8,2.56,186.1,18.53,0.0,37.1,0.04,0.08,0.0,0.0,0.0,0.1,0.0,1.22,0.09,0.16,0.04,0.07,0.02,0.05,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.02,0.11,0.01,0.0
22,4.14,0.87,19060.0,10750.0,34600.0,157300.0,528.0,32.9,859.0,32.1,1260.0,379.0,49.7,16.04,40100.0,4.94,81.8,4.38,195.0,18.79,0.04,31.9,0.05,0.08,0.02,0.03,0.0,0.21,0.0,1.18,0.09,0.15,0.02,0.06,0.01,0.04,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.03,0.04,0.68,0.01,0.0
23,4.45,0.53,21000.0,11860.0,36030.0,156300.0,497.0,32.6,913.0,29.1,1380.0,423.0,58.0,16.42,41400.0,4.68,78.4,3.44,203.3,21.01,0.03,31.8,0.05,0.05,0.01,0.02,0.0,0.14,0.02,1.17,0.07,0.16,0.02,0.06,0.01,0.05,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.03,0.02,0.14,0.0,0.0
24,3.59,1.0,21280.0,11320.0,38100.0,174300.0,619.0,28.4,937.0,38.7,1375.0,402.0,48.4,17.82,42690.0,4.49,80.5,4.0,212.0,19.69,0.0,37.3,0.1,0.08,0.01,0.02,0.0,0.16,0.0,1.36,0.1,0.18,0.02,0.07,0.02,0.06,0.02,0.0,0.02,0.0,0.01,0.02,0.01,0.0,0.01,0.02,0.01,0.11,0.01,0.0
25,3.4,0.67,21380.0,12170.0,39500.0,168900.0,482.0,30.5,862.0,45.2,1270.0,431.0,32.3,17.94,41700.0,3.56,76.1,1.79,211.9,21.04,0.0,39.6,0.12,0.03,0.0,0.01,0.01,0.23,0.02,1.84,0.07,0.16,0.02,0.09,0.02,0.05,0.02,0.0,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.03,0.11,0.01,0.0
26,3.78,0.4,20400.0,11210.0,35760.0,157800.0,498.0,39.1,891.0,28.2,1246.0,393.0,53.9,17.33,39600.0,5.0,80.1,3.77,220.8,19.16,0.21,30.6,0.05,0.11,0.01,0.02,0.02,0.21,0.0,1.19,0.08,0.15,0.01,0.08,0.01,0.04,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.07,0.1,0.25,0.01,0.0
27,3.73,0.55,21400.0,11450.0,36100.0,155800.0,497.0,28.6,760.0,29.0,1066.0,389.0,51.5,17.27,41600.0,5.07,83.0,4.3,220.0,19.69,0.03,26.2,0.06,0.05,0.01,0.02,0.0,0.14,0.0,0.98,0.07,0.13,0.01,0.06,0.01,0.05,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.02,0.14,0.01,0.0
28,6.8,0.17,21950.0,13680.0,44450.0,173600.0,504.0,70.8,322.0,47.4,356.2,263.0,2.78,27.91,52070.0,2.32,100.3,0.09,92.0,10.47,0.0,57.2,0.21,0.55,0.01,0.0,0.0,0.45,0.0,3.43,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.11,0.06,1.01,0.32,0.12,0.01,0.0,0.07,0.0,0.0
29,3.24,0.07,22090.0,14630.0,44960.0,172900.0,433.0,52.8,284.0,17.65,422.0,243.7,2.14,15.34,51410.0,2.18,101.9,0.07,163.0,16.15,0.02,50.1,0.06,0.55,0.0,0.0,0.0,0.94,0.01,3.13,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.02,0.26,0.09,0.1,0.01,0.0,0.12,0.0,0.0
30,8.18,0.18,21860.0,14490.0,43600.0,166300.0,312.0,75.1,331.0,31.0,325.9,259.5,4.91,28.77,52500.0,2.29,99.1,0.06,113.2,10.97,0.03,55.0,0.13,0.33,0.01,0.0,0.0,0.4,0.0,4.61,0.01,0.02,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.05,0.03,0.45,0.15,0.08,0.01,0.0,0.09,0.0,0.0
31,3.79,0.17,21960.0,14250.0,42220.0,164200.0,324.0,76.8,365.0,59.9,422.0,259.8,30.1,31.81,51730.0,2.83,130.5,0.08,108.0,11.0,0.03,52.5,0.21,0.49,0.01,0.0,0.0,0.61,0.0,2.52,0.02,0.04,0.0,0.02,0.01,0.01,0.01,0.0,0.02,0.01,0.1,0.05,1.02,0.34,0.09,0.0,0.0,0.06,0.0,0.0
32,8.51,0.23,22290.0,15120.0,43830.0,172300.0,394.0,80.7,350.0,18.77,393.0,239.4,4.9,24.51,52760.0,4.19,108.4,0.05,114.1,11.8,0.02,60.8,0.12,0.43,0.01,0.01,0.0,0.54,0.0,6.35,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.06,0.03,0.48,0.13,0.08,0.0,0.0,0.07,0.0,0.0
33,4.93,0.15,21970.0,15480.0,43470.0,174700.0,346.0,81.9,376.0,36.5,507.0,218.4,3.03,17.15,52990.0,2.69,115.3,0.21,164.4,14.37,0.02,61.3,0.04,0.35,0.0,0.0,0.01,0.82,0.0,5.24,0.01,0.02,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.15,0.05,0.08,0.01,0.0,0.55,0.0,0.0
34,12.41,0.2,21570.0,14840.0,44230.0,172700.0,347.0,86.9,359.0,28.33,288.5,239.3,3.96,27.2,51220.0,2.18,94.9,0.04,103.6,11.05,0.0,61.6,0.06,0.25,0.01,0.0,0.0,0.32,0.0,6.68,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.01,0.22,0.07,0.07,0.0,0.0,0.06,0.0,0.0
35,6.02,0.25,21650.0,15750.0,47730.0,174800.0,415.0,96.0,712.0,50.4,558.0,245.5,6.05,38.9,47300.0,2.82,91.4,0.1,113.4,13.26,0.03,91.3,0.05,0.52,0.04,0.0,0.0,1.77,0.0,4.23,0.01,0.02,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.02,0.01,0.14,0.04,0.11,0.01,0.0,0.41,0.0,0.0
36,6.21,0.33,20910.0,15420.0,47060.0,167200.0,381.0,84.3,676.0,44.3,490.0,247.3,5.47,37.65,45600.0,2.78,90.2,0.11,109.1,13.42,0.02,86.2,0.04,0.4,0.04,0.01,0.01,1.87,0.0,4.42,0.01,0.02,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.07,0.02,0.09,0.01,0.0,0.28,0.0,0.0
37,9.58,0.25,20840.0,13350.0,44360.0,174800.0,327.0,42.8,279.0,20.0,202.3,240.9,1720.0,23.91,44520.0,1.06,81.3,0.13,171.9,20.26,0.03,63.0,0.08,0.16,0.01,0.0,0.0,0.56,0.0,3.2,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.02,0.23,0.09,0.04,0.0,0.0,0.3,0.0,0.0
38,9.2,0.32,21120.0,15570.0,44200.0,172000.0,332.0,50.0,421.0,13.9,236.0,244.9,1400.0,24.6,46500.0,0.99,78.3,0.28,167.2,21.73,0.02,96.3,0.08,0.09,0.02,0.0,0.0,0.61,0.0,2.96,0.01,0.04,0.0,0.03,0.01,0.0,0.03,0.0,0.01,0.0,0.02,0.0,0.05,0.01,0.03,0.02,0.01,0.39,0.0,0.0
39,6.93,0.12,20200.0,14160.0,45790.0,174900.0,384.0,32.9,199.5,17.94,347.0,268.1,33.3,21.95,49510.0,1.55,94.6,0.04,154.5,15.73,0.0,47.2,0.05,0.41,0.0,0.0,0.0,0.6,0.0,2.77,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.22,0.07,0.08,0.0,0.0,0.06,0.0,0.0
40,8.3,0.19,21530.0,19100.0,45000.0,170900.0,326.0,79.0,528.0,10.98,354.0,236.7,32.1,20.2,46980.0,1.46,79.2,0.14,161.1,21.08,0.08,126.0,0.02,0.11,0.01,0.0,0.0,0.53,0.0,3.97,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.04,0.01,0.03,0.0,0.0,0.47,0.0,0.0
41,11.79,0.14,20080.0,14840.0,45870.0,171600.0,384.0,40.7,197.0,17.85,294.4,248.0,57.5,24.17,48140.0,1.64,101.2,0.04,159.4,16.82,0.0,49.0,0.02,0.24,0.0,0.0,0.0,0.51,0.0,5.28,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.12,0.05,0.06,0.0,0.0,0.07,0.0,0.0
42,8.07,0.22,20020.0,13580.0,44280.0,168800.0,443.0,46.6,900.0,13.85,341.0,286.1,539.0,22.6,48080.0,0.89,106.6,0.39,171.6,18.04,0.03,61.4,0.06,0.22,0.02,0.02,0.02,0.74,0.0,2.51,0.01,0.02,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.02,0.01,0.13,0.04,0.04,0.02,0.01,1.3,0.0,0.0
43,3.71,0.14,20250.0,15630.0,45620.0,176200.0,406.0,83.9,365.0,22.27,496.0,226.2,3.83,19.01,52720.0,2.73,125.4,0.45,183.7,15.05,0.04,61.6,0.07,0.62,0.01,0.0,0.01,1.14,0.0,3.69,0.02,0.02,0.0,0.02,0.0,0.01,0.01,0.0,0.01,0.0,0.02,0.01,0.22,0.07,0.11,0.01,0.0,0.25,0.0,0.0
44,2.94,0.13,20710.0,15710.0,44800.0,169600.0,351.0,87.5,297.0,23.78,507.0,254.0,3.03,18.88,53200.0,2.66,129.9,0.42,185.0,15.03,0.02,51.8,0.07,0.58,0.01,0.01,0.01,1.18,0.0,2.67,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.02,0.27,0.08,0.11,0.01,0.01,0.15,0.0,0.0
45,2.83,0.12,19990.0,14770.0,43150.0,166100.0,359.0,73.4,283.0,30.02,440.3,230.3,8.47,16.58,51700.0,1.86,97.9,0.1,164.5,14.46,0.02,48.19,0.09,0.44,0.01,0.01,0.01,0.97,0.0,2.63,0.01,0.04,0.01,0.03,0.01,0.01,0.01,0.0,0.01,0.0,0.02,0.01,0.16,0.06,0.09,0.01,0.0,0.13,0.0,0.0
46,5.22,0.14,19390.0,13640.0,45490.0,177100.0,358.0,42.7,180.0,14.5,310.0,266.6,60.5,19.5,49270.0,1.29,106.3,0.05,181.3,16.75,0.0,37.3,0.05,0.4,0.0,0.0,0.0,0.72,0.01,2.39,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.21,0.08,0.07,0.0,0.0,0.09,0.0,0.0
47,3.25,0.06,19900.0,14980.0,44010.0,172200.0,357.0,74.8,277.0,44.2,470.8,217.4,2.7,16.54,54720.0,2.91,125.8,0.07,165.2,14.0,0.02,53.3,0.03,0.51,0.0,0.0,0.0,0.98,0.0,2.29,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.15,0.06,0.11,0.01,0.0,0.19,0.0,0.0
